filename,timestamp,year_sine,day_sine,moon_phase,basin,name,lat,lon,estimated_central_pressure,max_sustained_surface_wind,pressure_drop,grade,ir_x_1,ir_y_1,ir_x_2,ir_y_2,ir_x_3,ir_y_3,ir_x_4,ir_y_4,ir_x_5,ir_y_5,ir_x_6,ir_y_6,ir_x_7,ir_y_7,ir_x_8,ir_y_8,wv_x_1,wv_y_1,wv_x_2,wv_y_2,wv_x_3,wv_y_3,wv_x_4,wv_y_4,wv_x_5,wv_y_5,wv_x_6,wv_y_6,wv_x_7,wv_y_7,wv_x_8,wv_y_8,dx,dy
20151028120000,2015-10-28 12:00:00,-0.8996308696522434,-3.216245299353273e-16,-0.2408924243083447,ARB,CHAPALA,12.5,64.7,1001.0,30.0,5.0,1,-0.41242927,-0.87385386,0.99932045,10.149972,-0.7049132,20.622849,-2.9758139,16.303219,-1.0915717,11.1722145,1.3135037,6.317994,0.56469357,-5.6155787,-0.9636122,-8.739366,4.074962,-4.5949903,11.694437,5.1110306,2.5412297,21.806128,-4.987452,19.871674,-4.3087482,11.245419,-0.14137363,1.1736487,-0.61023617,-7.5065355,-4.111417,-5.4488153,,
20151028180000,2015-10-28 18:00:00,-0.8996308696522434,-1.0,-0.299040319530167,ARB,CHAPALA,13.0,64.7,1001.0,30.0,5.0,1,9.111522,1.9557118,12.138483,8.846632,6.925931,20.292479,0.9850938,10.827718,-3.9004977,5.388774,-0.6635392,0.4404443,3.0907226,-3.155087,0.097704224,-6.7261114,4.7328563,9.488991,-1.609983,18.421047,-1.1770371,24.929424,-3.7536523,17.836857,-5.6584115,11.7219715,0.7538464,-0.4013812,0.36018488,-8.394789,-3.5781868,-8.090498,0.5,0.0
20151029120000,2015-10-29 12:00:00,-0.8919813464595487,-3.216245299353273e-16,-0.464240051099956,ARB,CHAPALA,14.1,63.3,990.0,55.0,16.0,3,1.1355605,8.314366,4.350509,18.423859,0.4710326,23.952604,-6.1223874,15.863939,-5.2505355,10.664341,-0.36757922,5.8636336,2.7534776,-2.2183032,0.2770766,-7.251426,10.211774,10.431035,9.872086,24.358118,2.6495664,23.693697,-3.310935,15.079024,-3.9873517,13.259213,0.5422447,5.8302727,1.4908177,-6.2324643,-1.2401224,-5.026525,1.0999999999999996,-1.4000000000000057
20151029150000,2015-10-29 15:00:00,-0.8919813464595487,-0.7071067811865475,-0.4901619350844725,ARB,CHAPALA,14.3,62.8,988.0,60.0,18.0,3,73.83993,-24.930454,25.317537,-4.781061,3.9808974,6.836121,2.3441012,7.7115674,1.023382,6.79342,0.727743,-1.0449499,-1.7589903,-3.705043,-1.7404414,-8.454034,13.918006,9.985964,11.544625,20.558119,1.6908003,19.98946,-2.8345413,13.017519,-2.85927,8.411975,1.7969865,0.15078382,0.29315048,-5.5214186,-3.457995,-6.95244,0.200000000000001,-0.5
20151029180000,2015-10-29 18:00:00,-0.8919813464595487,-1.0,-0.5155640713420035,ARB,CHAPALA,14.3,62.5,984.0,65.0,22.0,4,11.498677,13.114806,8.016248,14.91073,4.243984,14.3283205,0.4168124,11.790179,-6.607568,13.505634,-2.0322065,4.8502045,0.008225882,-0.18844898,3.800358,-4.9426517,5.4129815,7.9289923,7.1179266,20.222532,-0.21802408,21.64457,-3.6021261,12.504906,-5.466263,8.729312,1.4454445,1.350325,1.6618407,-4.8962717,3.0568302,-5.405885,0.0,-0.2999999999999971
20151029210000,2015-10-29 21:00:00,-0.8919813464595487,-0.7071067811865477,-0.5404268687817145,ARB,CHAPALA,14.3,62.3,976.0,75.0,30.0,4,4.5739884,14.601539,6.344988,20.190128,-1.1925848,16.962751,-3.34005,9.601201,-3.1297176,7.286844,0.51545185,-0.3633278,2.5281196,-4.9111376,-0.16732539,-8.661411,-4.087601,12.613649,-0.71403253,28.593159,-5.2237177,20.08335,-6.327115,12.063876,-7.3082094,12.393974,-0.35501897,5.516852,5.080957,-2.8003926,4.320982,-7.511848,0.0,-0.2000000000000028
20151030120000,2015-10-30 12:00:00,-0.8840675099433637,-3.216245299353273e-16,-0.6560497599553742,ARB,CHAPALA,14.1,60.6,940.0,115.0,66.0,5,1.0731176,7.8429356,2.018741,9.463752,0.38793787,7.6970587,-3.220386,7.3273273,-2.578082,6.2278433,2.2732236,2.7300975,4.4815097,-2.8811374,0.60228837,-7.1418777,11.985377,11.04733,10.823338,18.604322,6.7577395,17.818752,-0.3700612,16.928383,-3.3390887,11.960309,0.46847045,2.8795223,4.4482937,-5.427711,1.4208755,-7.592702,-0.200000000000001,-1.6999999999999955
20151030150000,2015-10-30 15:00:00,-0.8840675099433637,-0.7071067811865475,-0.677332742758297,ARB,CHAPALA,14.0,60.4,940.0,115.0,66.0,5,38.37794,-42.70868,32.953465,-56.410152,17.779818,-26.758032,4.9542274,-6.0015373,0.26333636,0.098301455,-2.0196843,2.7728379,-1.4341632,-4.68742,-1.6420809,-6.878176,14.951404,5.632735,11.342341,16.743029,7.244866,19.91496,-0.05196009,18.737215,-3.0355504,10.91304,-0.97311854,3.525596,3.298123,-7.224128,-1.1207705,-10.129121,-0.0999999999999996,-0.2000000000000028
20151030180000,2015-10-30 18:00:00,-0.8840675099433637,-1.0,-0.697972907111774,ARB,CHAPALA,13.9,60.2,940.0,115.0,66.0,5,7.374663,5.5141616,15.975762,-1.0986518,16.394608,-7.9917464,6.799297,-1.1763581,-1.6931579,-0.6032745,-4.764757,-4.046647,-2.5227926,-4.3207417,-1.0769763,-5.8582845,4.5866237,16.41633,4.4315276,18.862366,3.4350884,17.01694,-1.1295904,9.076776,-4.1757507,9.477683,-0.9641832,-0.17983048,1.6612417,-7.8373046,-1.3706286,-9.990797,-0.0999999999999996,-0.1999999999999957
20151030210000,2015-10-30 21:00:00,-0.8840675099433637,-0.7071067811865477,-0.7179601337454418,ARB,CHAPALA,13.9,59.9,942.0,115.0,64.0,5,1.0174544,2.7966943,4.5201855,1.5754814,3.397497,0.9876841,1.5536392,4.4409795,-2.6658587,5.7554374,-1.1295774,-1.1159959,-0.20005506,-4.371056,1.9519397,-6.9535017,-6.867252,24.668282,-3.7962203,20.683687,-2.7025847,14.57599,-2.7511058,11.852238,-5.934308,12.531269,-2.4657607,3.2196565,-1.650738,-4.8732224,0.6954102,-12.470576,0.0,-0.3000000000000042
