filename,timestamp,year_sine,day_sine,moon_phase,basin,name,lat,lon,estimated_central_pressure,max_sustained_surface_wind,pressure_drop,grade,ir_x_1,ir_y_1,ir_x_2,ir_y_2,ir_x_3,ir_y_3,ir_x_4,ir_y_4,ir_x_5,ir_y_5,ir_x_6,ir_y_6,ir_x_7,ir_y_7,ir_x_8,ir_y_8,wv_x_1,wv_y_1,wv_x_2,wv_y_2,wv_x_3,wv_y_3,wv_x_4,wv_y_4,wv_x_5,wv_y_5,wv_x_6,wv_y_6,wv_x_7,wv_y_7,wv_x_8,wv_y_8,dx,dy
20131119120000,2013-11-19 12:00:00,-0.6744436188329457,-3.216245299353273e-16,-0.3576305474566354,BOB,HELEN,15.0,85.0,1004.0,25.0,3.0,0,-5.175943,-11.616389,-3.1620748,-8.005331,-1.6185173,-7.5895586,-1.6577972,-6.3694153,0.0958977,1.0789678,-1.0148796,5.2221584,-0.8438204,7.996665,23.8667,2.2655754,-6.294038,-13.072723,-3.0591955,-8.634186,1.389921,-7.012678,3.73924,-0.31238094,4.615984,10.324145,5.2671638,15.415602,5.431203,13.472534,14.28572,14.6114435,,
20131119150000,2013-11-19 15:00:00,-0.6744436188329457,-0.7071067811865475,-0.3801087062199517,BOB,HELEN,15.0,85.0,1002.0,30.0,5.0,1,-7.867236,-10.7980585,-4.442951,-9.535573,1.6162386,-26.779736,3.1443498,-34.474915,6.762321,-6.792068,6.5998,4.9998326,-1.4052246,7.813545,8.873987,4.701655,-7.075639,-12.330531,-1.9549263,-7.616943,1.3371279,-5.103044,1.9929755,2.3177931,2.0171533,11.553073,3.3403895,18.573814,3.6387708,14.98956,12.539922,9.1946125,0.0,0.0
20131119180000,2013-11-19 18:00:00,-0.6744436188329457,-1.0,-0.4023298963996182,BOB,HELEN,15.0,84.5,1002.0,30.0,5.0,1,1.227617,-3.0865557,-1.1931419,-7.40303,1.5325458,-10.676572,2.9857845,-6.495436,0.62792546,5.4948497,0.7886188,8.941516,1.4506929,7.2851586,7.5314293,4.8826947,0.03936566,-5.649693,0.4663916,-6.5576344,0.06967965,-4.6898365,-0.15906894,1.0102012,0.36840904,11.521503,2.384536,17.737707,2.527842,13.802404,7.791242,10.329519,0.0,-0.5
20131120120000,2013-11-20 12:00:00,-0.661634618242279,-3.216245299353273e-16,-0.5296651491021702,BOB,HELEN,15.3,83.9,998.0,45.0,10.0,2,4.7792816,-9.023749,0.17970088,-7.518761,-2.9620636,-5.081035,-2.518134,-2.4165823,-0.10370108,3.4060738,0.57184833,4.5821123,-1.6133535,9.303025,5.955758,-12.499847,-0.38392705,-11.74123,-1.365822,-6.450475,-2.8831089,0.054639213,-0.26060927,5.443249,1.8979752,8.684057,2.0742314,10.244399,2.5604584,14.2439575,5.7852864,2.0542247,0.3000000000000007,-0.5999999999999943
20131120150000,2013-11-20 15:00:00,-0.661634618242279,-0.7071067811865475,-0.5497948998552212,BOB,HELEN,15.3,83.9,998.0,45.0,10.0,2,-5.358407,-20.2242,10.615616,-15.112278,5.62198,-23.472258,0.13769051,-31.946371,7.8294964,-8.767178,3.7232385,-2.6529753,1.7703637,6.834777,4.8626804,-0.22084852,-1.7595141,-12.811903,-2.1086972,-5.516124,-3.0769372,1.474599,-1.6168151,7.41122,2.532119,10.9284725,2.457905,13.177056,2.4543543,14.988413,3.039904,2.0105882,0.0,0.0
20131120180000,2013-11-20 18:00:00,-0.661634618242279,-1.0,-0.5695869505103861,BOB,HELEN,15.4,83.7,996.0,45.0,10.0,2,4.304926,-9.064591,-0.28049386,-4.8011727,-0.18239206,-6.1942677,5.773944,-3.6506476,3.0919046,-0.25775325,-0.037942678,5.207276,0.06829234,6.5548553,4.2405195,1.0558928,-1.2377234,-12.635847,-2.2561803,-5.9730816,-3.4433308,-1.3722492,-1.4416407,4.3782883,-1.7568034,9.778604,-0.7110523,12.948885,0.9165166,10.52166,4.703363,8.86001,0.0999999999999996,-0.2000000000000028
20131120210000,2013-11-20 21:00:00,-0.661634618242279,-0.7071067811865477,-0.5890322648613876,BOB,HELEN,15.5,83.6,996.0,45.0,10.0,2,9.218701,3.7899406,3.4157438,0.29562432,-2.211653,-0.18541506,0.09580097,-0.7621721,-0.08716114,1.0784196,-1.2646103,4.7513185,-1.5152091,4.292457,5.290034,0.38214406,-0.39523736,-10.263149,-3.4557626,-5.0500712,-3.83468,1.047951,-1.3073354,4.6403823,-2.085987,6.7128,-0.8877171,11.229399,-0.49122843,8.662942,7.6556354,13.744017,0.0999999999999996,-0.1000000000000085
20131121120000,2013-11-21 12:00:00,-0.6486295610349818,-3.216245299353273e-16,-0.6807566462578081,BOB,HELEN,16.1,82.9,990.0,55.0,17.0,3,-0.9813978,-4.334069,0.28806406,-2.959522,-0.87075835,-2.0937486,-2.6029708,1.7571802,-0.15950295,5.857645,0.36155683,9.857287,0.90200984,13.818978,15.019121,-2.216613,-3.0144677,0.5669783,-3.4772398,5.4047494,-2.4606087,6.802418,-1.4101101,14.782869,5.236017,15.873005,3.82984,17.912115,4.099488,13.41236,6.099555,2.5399742,0.6000000000000014,-0.6999999999999886
20131121150000,2013-11-21 15:00:00,-0.6486295610349818,-0.7071067811865475,-0.6979437368733876,BOB,HELEN,16.1,82.7,990.0,55.0,17.0,3,6.591581,-23.35727,34.55992,-18.485355,26.54636,-32.04581,12.67034,-21.49902,9.14965,1.794565,15.366364,11.53206,13.478481,11.414521,25.634624,11.939228,-6.820163,2.2033572,-6.522495,2.2006826,-3.9141047,4.2362595,-0.58833164,10.58689,2.4926517,13.725569,-0.011059123,10.392046,2.208256,8.521577,10.378635,6.203908,0.0,-0.2000000000000028
20131121180000,2013-11-21 18:00:00,-0.6486295610349818,-1.0,-0.7147266922225551,BOB,HELEN,16.2,82.7,990.0,55.0,17.0,3,-0.4813979,-1.8972955,3.8807085,-3.1968691,7.6386323,-6.3110633,6.0367208,-0.976581,0.8912788,4.1736674,0.7935346,5.5478215,0.17239518,9.091143,6.671163,6.55555,-3.905457,0.3278623,-5.6156397,2.0548441,-5.2050114,5.6439176,-0.93071324,7.69984,-1.3193378,10.834524,-0.66188383,7.082411,0.9399002,10.878481,7.0615807,8.915841,0.0999999999999978,0.0
