filename,timestamp,year_sine,day_sine,moon_phase,basin,name,lat,lon,estimated_central_pressure,max_sustained_surface_wind,pressure_drop,grade,ir_x_1,ir_y_1,ir_x_2,ir_y_2,ir_x_3,ir_y_3,ir_x_4,ir_y_4,ir_x_5,ir_y_5,ir_x_6,ir_y_6,ir_x_7,ir_y_7,ir_x_8,ir_y_8,wv_x_1,wv_y_1,wv_x_2,wv_y_2,wv_x_3,wv_y_3,wv_x_4,wv_y_4,wv_x_5,wv_y_5,wv_x_6,wv_y_6,wv_x_7,wv_y_7,wv_x_8,wv_y_8,dx,dy
20141007120000,2014-10-07 12:00:00,-0.9959189961471792,-3.216245299353273e-16,0.2247436555594545,BOB,HUDHUD,12.0,94.0,1000.0,30.0,5.0,1,-0.61096734,-0.7228923,0.062314983,-3.723182,-1.4855646,-9.613486,-3.244359,-8.996819,-0.8447448,-8.09033,2.3770726,-5.5701237,4.6613393,4.550854,0.31353822,9.532038,3.7627473,-8.9917145,3.7339532,-14.602159,0.85808235,-14.445496,-0.7464118,-6.4115157,-0.26535514,-6.98384,2.443091,-5.811518,4.1136785,2.8757885,7.064615,12.402243,,
20141007180000,2014-10-07 18:00:00,-0.9959189961471792,-1.0,0.1660761786789617,BOB,HUDHUD,12.0,93.5,1000.0,30.0,5.0,1,2.0312433,-0.13732013,3.4564695,-1.6016113,3.221196,-7.0907946,1.6672616,-10.545524,0.40000185,-8.002184,4.5065207,-8.376683,4.1804647,-2.4555595,10.296209,7.5124793,6.2103167,-12.65439,4.8922935,-9.019004,4.7130527,-11.695214,1.354255,-8.652095,2.0636082,-3.60382,5.8137617,-1.2599885,4.308708,10.573487,8.384704,21.992687,0.0,-0.5
20141008120000,2014-10-08 12:00:00,-0.994217906893952,-3.216245299353273e-16,-0.0113853434167401,BOB,HUDHUD,12.8,91.0,996.0,40.0,8.0,2,2.573051,-5.009356,-1.6280329,-6.5440598,-2.7413971,-5.883855,-0.013697002,-9.985815,0.15678842,-6.9189024,2.3811746,0.5059216,2.0226989,9.689148,2.0068069,19.292217,3.361997,-11.151701,-2.4731216,-8.287163,-2.088854,-6.880897,-1.8934126,-7.8539367,0.6335961,-5.0061126,3.097204,0.9992472,5.8528924,10.1386385,4.440683,20.480839,0.8000000000000007,-2.5
20141008150000,2014-10-08 15:00:00,-0.994217906893952,-0.7071067811865475,-0.0408575952664899,BOB,HUDHUD,13.0,90.5,996.0,40.0,8.0,2,-4.029653,1.808979,-2.1855457,-0.06863645,-5.2259316,-2.9598734,-2.7077122,-5.6053753,1.4688791,-7.108862,9.883638,-6.1815467,10.991766,1.1319454,13.040829,4.2201676,-4.469506,-5.533645,-3.1294875,-6.7031627,-3.9145422,-6.77159,-2.7801778,-6.865688,1.1542025,-3.5397186,4.4256973,1.8849777,5.487621,7.118027,5.8594,10.65976,0.1999999999999993,-0.5
20141008180000,2014-10-08 18:00:00,-0.994217906893952,-1.0,-0.0702216835557452,BOB,HUDHUD,13.2,90.2,994.0,45.0,9.0,2,-8.277721,-3.1875627,-3.057862,-1.9318513,-4.6394506,-3.423283,-2.8726401,-5.657216,-1.1469264,-4.551489,1.1597211,-0.4224832,4.7095556,-1.3550979,15.845657,-2.3064425,-8.573923,-6.4157043,-4.5275865,-7.978451,-5.9227247,-8.929907,-2.4816635,-6.8046045,2.347925,-2.587177,3.1080692,5.020216,2.8228304,8.718869,8.13165,17.047276,0.1999999999999993,-0.2999999999999971
20141008210000,2014-10-08 21:00:00,-0.994217906893952,-0.7071067811865477,-0.0994493538051555,BOB,HUDHUD,13.5,89.6,992.0,45.0,10.0,2,-5.9612484,-7.3414016,-1.3255763,-6.38601,-1.3641679,-5.117541,-0.65213823,-4.2219825,-0.03856933,-4.0661783,1.6961857,-1.5097939,2.6162448,2.9840808,5.452158,8.659025,-7.21621,-11.545519,-2.3055396,-8.952753,-1.3760817,-8.20428,-0.49717584,-4.8590713,2.514701,-1.2340243,2.673909,8.567001,1.0913218,17.982038,1.9135875,25.557873,0.3000000000000007,-0.6000000000000085
20141009120000,2014-10-09 12:00:00,-0.9922222094179324,-3.216245299353273e-16,-0.2425965623396233,BOB,HUDHUD,14.1,88.4,988.0,55.0,16.0,3,-3.6422899,-13.055855,-4.360918,-13.493734,-1.6302974,-10.758278,-1.2425351,-8.595015,-1.1662885,-8.9045,1.3307649,-3.0769007,0.11352889,3.6289692,-4.1943426,2.9207077,-5.8831754,-12.104283,-4.7740884,-11.698885,-2.5876787,-6.210773,-1.1699345,-6.459029,-0.6558313,-4.126032,4.277675,-0.8721582,5.4015536,9.267113,6.449824,24.582628,0.5999999999999996,-1.1999999999999886
20141009150000,2014-10-09 15:00:00,-0.9922222094179324,-0.7071067811865475,-0.270448677575558,BOB,HUDHUD,14.1,88.1,988.0,55.0,16.0,3,-3.7928374,-6.815413,-5.222455,-9.345079,-1.7637258,-10.941125,-1.7012228,-13.654816,3.9530175,-19.97023,11.243817,-21.974335,16.453348,-22.366632,30.35279,-13.995288,-8.725207,-8.629951,-6.0697913,-7.173539,-2.9208565,-7.6492386,-0.8239229,-9.584781,0.4949731,-4.8151326,3.6361818,0.7078524,4.846677,10.075749,9.639016,25.640078,0.0,-0.3000000000000113
20141009180000,2014-10-09 18:00:00,-0.9922222094179324,-1.0,-0.2979855799721485,BOB,HUDHUD,14.1,87.9,988.0,55.0,16.0,3,-2.1214218,-1.3137138,0.38052723,-1.5773989,1.3465,-1.9827168,0.7061692,-8.291946,-1.6725117,-12.781866,2.9889543,-9.636821,13.656355,-2.1718771,27.349073,10.445306,-4.162577,-6.888046,-0.63075095,-5.917276,-1.540315,-5.0982175,-0.17372179,-5.9776826,1.4292995,-3.1935747,2.0855327,3.2125304,3.7184443,11.061614,6.7131844,24.93319,0.0,-0.1999999999999886
20141009210000,2014-10-09 21:00:00,-0.9922222094179324,-0.7071067811865477,-0.3251848722709795,BOB,HUDHUD,14.3,87.7,988.0,60.0,16.0,3,5.7469482,-0.48871985,0.14041092,-0.111314304,0.35106707,-0.9184644,2.1180701,-4.96436,1.6255057,-5.903432,2.7441244,-4.1486154,7.3825145,3.98286,3.1379774,22.303946,5.887689,-3.5737805,1.4612738,-8.329483,-0.86700964,-5.8623304,0.45141512,-6.934082,-0.040852416,-3.180783,0.64798266,1.9626819,2.899352,9.694198,0.5095802,21.166784,0.200000000000001,-0.2000000000000028
