filename,timestamp,year_sine,day_sine,moon_phase,basin,name,lat,lon,estimated_central_pressure,max_sustained_surface_wind,pressure_drop,grade,ir_x_1,ir_y_1,ir_x_2,ir_y_2,ir_x_3,ir_y_3,ir_x_4,ir_y_4,ir_x_5,ir_y_5,ir_x_6,ir_y_6,ir_x_7,ir_y_7,ir_x_8,ir_y_8,wv_x_1,wv_y_1,wv_x_2,wv_y_2,wv_x_3,wv_y_3,wv_x_4,wv_y_4,wv_x_5,wv_y_5,wv_x_6,wv_y_6,wv_x_7,wv_y_7,wv_x_8,wv_y_8,dx,dy
20150726120000,2015-07-26 12:00:00,-0.3935902766564664,-3.216245299353273e-16,0.8943023430472687,BOB,KOMEN,22.0,90.5,994.0,20.0,3.0,0,2.5179608,-18.794537,-2.9015863,-13.859721,-1.3730645,-11.18843,1.9324242,-9.585407,2.674604,-7.272455,1.6970714,-3.0491214,4.0217957,-2.5950563,2.3450587,-2.9803247,-0.29829603,-21.256695,-3.713252,-15.312487,-1.988478,-12.386938,1.0326282,-7.3091793,4.3834777,-6.0935264,5.0371337,-3.3413682,5.5005407,-2.5231678,3.6404023,1.9175152,,
20150726180000,2015-07-26 18:00:00,-0.3935902766564664,-1.0,0.8699824659995337,BOB,KOMEN,22.0,90.5,994.0,20.0,3.0,0,-10.818863,3.3661053,-0.46655983,-10.286599,2.6120744,-13.32636,3.7840726,-12.169411,1.7205985,-9.247204,1.7690821,-8.679788,1.7519183,-5.79321,1.1402861,1.0780115,-12.8361,4.547139,1.131949,-14.133322,1.3181441,-16.870913,0.5042472,-13.74343,1.2296005,-6.236868,4.958161,-6.0815077,5.723922,2.6597438,4.2691317,5.8311715,0.0,0.0
20150727120000,2015-07-27 12:00:00,-0.4093559588156211,-3.216245299353273e-16,0.7816855773556814,BOB,KOMEN,22.0,90.5,994.0,25.0,4.0,0,-2.6522686,-28.681866,-0.3634213,-19.329369,2.7586079,-15.273689,2.753744,-11.113618,2.1994543,-9.160005,2.1990435,-6.2737575,1.4406736,-1.0621333,1.1399043,0.053479277,-0.17615598,-35.593403,0.7383056,-21.805862,0.6000081,-14.914844,-0.012180116,-10.888802,2.1359076,-9.878689,3.3521893,-4.3566494,3.2125998,0.82700926,2.5710425,3.389512,0.0,0.0
20150727180000,2015-07-27 18:00:00,-0.4093559588156211,-1.0,0.7471945818773039,BOB,KOMEN,22.0,90.5,994.0,25.0,4.0,0,-5.2568607,-15.035355,-4.339533,-11.657654,-1.8054615,-12.973984,0.42627174,-11.390367,-0.1549113,-9.724692,1.6327053,-5.6260734,3.46465,-1.011028,2.3549888,6.637922,-5.251322,-15.954674,-3.3866158,-15.302354,-2.9680095,-18.86737,1.013145,-13.539609,1.4876722,-6.5087833,2.1951702,-2.635365,4.256127,-0.4825026,4.4407816,5.828203,0.0,0.0
20150728120000,2015-07-28 12:00:00,-0.4250003399695539,-3.216245299353273e-16,0.6290719094884434,BOB,KOMEN,21.5,90.2,994.0,25.0,4.0,0,-5.9660416,-29.775105,1.0258311,-26.126701,1.7060775,-15.070523,0.6722855,-9.019981,3.1954927,-4.234985,1.2450662,-1.4386306,2.1271102,0.9100014,0.33697048,-0.20008574,-5.0170913,-27.519985,1.2717876,-23.828287,1.034176,-14.519272,2.619618,-11.909005,5.6512475,-3.5555725,1.8575797,0.52882004,2.2364626,3.2940006,0.79525757,1.0081303,-0.5,-0.2999999999999971
20150728180000,2015-07-28 18:00:00,-0.4250003399695539,-1.0,0.585024250721455,BOB,KOMEN,21.3,90.6,992.0,25.0,4.0,0,1.1465408,-24.102999,-1.8508704,-22.833536,-4.1601543,-12.676827,-1.7706616,-8.284925,1.4292295,-8.068342,3.9132187,-5.41853,3.639067,-0.13414948,10.540224,6.839011,1.3472594,-33.383797,-2.6441088,-23.62054,-4.3350573,-12.687475,1.1798778,-7.7115364,2.5138307,-0.276066,2.9447117,-0.89359653,3.5429626,-0.17290118,5.443715,4.537543,-0.1999999999999993,0.3999999999999915
20150729120000,2015-07-29 12:00:00,-0.4405187843504952,-3.216245299353273e-16,0.4401531775019662,BOB,KOMEN,21.5,91.4,988.0,30.0,6.0,1,8.200377,-14.589752,2.0110679,-11.877699,-0.4484267,-9.57325,2.912611,-10.380128,5.7444644,-6.1713867,2.1212122,-5.1728916,0.28711048,-3.7358198,-2.310423,-5.45906,-2.4831798,-5.556895,-0.5721669,-11.140162,-1.9136533,-13.786528,2.7993493,-8.957999,4.6474667,-2.5659192,2.4059744,-3.53882,-0.7121565,-1.3529978,-1.3150177,3.7977214,0.1999999999999993,0.8000000000000114
20150729180000,2015-07-29 18:00:00,-0.4405187843504952,-1.0,0.3880332610158686,BOB,KOMEN,21.6,91.4,986.0,35.0,7.0,2,-9.725749,-8.52567,-3.2516458,-19.49608,1.0379968,-17.185772,0.1460542,-8.93771,-0.4244341,-2.7313297,2.9064183,-4.701919,1.8501599,-2.5743876,8.10017,2.048172,-19.782686,9.334363,-8.426962,-8.528454,-1.1414783,-10.185621,0.24933451,-3.9255886,1.6712712,1.1111399,3.675405,-1.6968523,2.6009276,-0.71076876,2.1564841,4.9836655,0.1000000000000014,0.0
20150730120000,2015-07-30 12:00:00,-0.455906693508459,-3.216245299353273e-16,0.2223756772815159,BOB,KOMEN,22.4,91.4,988.0,35.0,7.0,2,-3.3538127,-6.6509113,-1.1644031,-11.406837,0.29938138,-14.423303,1.2554183,-13.061398,2.3585813,-8.230083,1.3541977,-6.1093903,0.6881231,-3.2724254,1.0397847,-0.31002876,-7.171585,-2.857331,-3.5560021,-6.651602,-5.0602045,-10.471344,-2.8454413,-6.65791,4.4548373,-4.7578554,4.524706,-6.4173446,3.8012538,-5.0162845,3.7885582,1.1078231,0.7999999999999972,0.0
20150730150000,2015-07-30 15:00:00,-0.455906693508459,-0.7071067811865475,0.1936543202575296,BOB,KOMEN,22.6,91.3,988.0,35.0,7.0,2,-0.22238399,-1.5850981,-1.1207852,-3.4635665,1.4693218,-13.258048,2.1480591,-13.236291,2.0334392,-6.4245286,1.6976578,-7.8662496,2.7011366,-5.5036693,3.6221237,-2.6164336,-4.048063,5.5719824,-2.1031528,0.17846693,-1.704622,-7.7374578,-2.1160252,-9.941539,2.8058074,-5.1354833,3.6641874,-8.602231,4.606582,-5.5932937,5.1932135,-1.1277198,0.2000000000000028,-0.1000000000000085
