filename,timestamp,year_sine,day_sine,moon_phase,basin,name,lat,lon,estimated_central_pressure,max_sustained_surface_wind,pressure_drop,grade,ir_x_1,ir_y_1,ir_x_2,ir_y_2,ir_x_3,ir_y_3,ir_x_4,ir_y_4,ir_x_5,ir_y_5,ir_x_6,ir_y_6,ir_x_7,ir_y_7,ir_x_8,ir_y_8,wv_x_1,wv_y_1,wv_x_2,wv_y_2,wv_x_3,wv_y_3,wv_x_4,wv_y_4,wv_x_5,wv_y_5,wv_x_6,wv_y_6,wv_x_7,wv_y_7,wv_x_8,wv_y_8,dx,dy
20131008120000,2013-10-08 12:00:00,-0.994217906893952,-3.216245299353273e-16,0.6999049571536891,BOB,PHAILIN,12.0,94.5,1003.0,25.0,4.0,0,-0.2459187,-10.125902,2.4689128,-10.200681,0.75970215,-7.7757697,2.0888686,-6.0955725,0.5130687,-1.9645568,-0.1684776,-1.8490529,2.0406673,-3.244798,-5.3742566,-5.6569996,0.014942906,-14.383204,1.49067,-11.7904625,2.709574,-9.802799,3.171409,-6.088905,1.6353683,-3.55103,-0.44948378,-5.6723394,1.7498459,-10.92711,7.986486,-6.2907805,,
20131008180000,2013-10-08 18:00:00,-0.994217906893952,-1.0,0.7394903271779001,BOB,PHAILIN,12.5,94.0,1003.0,25.0,4.0,0,-3.1665773,1.1001223,-0.3809544,-6.0906925,-3.311908,-8.495833,-1.3741076,-8.677394,-1.8852998,-6.7739487,2.7655678,-12.356112,13.008153,-21.924665,19.459074,-12.416861,0.53604954,-1.0839823,-1.7665136,-9.844995,-2.0298204,-7.8461585,0.3326667,-6.235143,0.56858486,-3.5713232,0.58577985,-4.366549,0.06762872,-1.8067994,6.617067,-2.5622802,0.5,-0.5
20131009120000,2013-10-09 12:00:00,-0.9922222094179324,-3.216245299353273e-16,0.8436644706572953,BOB,PHAILIN,13.5,92.5,999.0,35.0,7.0,2,3.705964,-18.561287,1.3087124,-10.887868,-1.4820082,-11.584077,-2.6812406,-10.298663,-1.1547158,-6.2665014,1.5245885,-3.6837957,-0.77993125,-5.0312085,-2.5800402,-6.3188276,1.719693,-15.352965,1.5835985,-11.627881,-0.81556755,-6.6538205,-4.5164447,-4.703427,-0.90492934,-4.8812933,-0.8539938,-5.687203,1.7602032,-7.1485276,9.466812,-12.862684,1.0,-1.5
20131009150000,2013-10-09 15:00:00,-0.9922222094179324,-0.7071067811865475,0.8587239086105435,BOB,PHAILIN,13.6,92.5,999.0,35.0,7.0,2,2.6816492,-13.253953,0.6187745,-10.089124,0.452992,-10.77007,-0.7509331,-9.978402,-1.0632386,-7.309047,3.7745075,-16.042395,16.92456,-29.587614,31.481028,-19.669403,-1.5763841,-14.231865,1.011092,-12.537748,0.23779045,-9.373272,-3.9280841,-5.2737985,-0.8258918,-4.9833927,0.4920991,-4.525936,2.835618,-5.1601844,13.771143,-14.698116,0.0999999999999996,0.0
20131009180000,2013-10-09 18:00:00,-0.9922222094179324,-1.0,0.8730846717213141,BOB,PHAILIN,14.0,92.0,998.0,40.0,8.0,2,-2.7244682,-1.8755786,-1.3449166,-1.7149855,-1.5203284,-7.3468714,-0.13349165,-6.9997134,0.8258163,-3.7457783,3.1919632,-6.334454,9.564757,-5.2157006,24.38718,5.654722,-2.4345357,-5.730228,-1.9591885,-4.908602,-1.5283792,-6.8344855,-1.8575958,-4.9032345,-0.00020945072,-6.1245327,1.3831393,-3.824804,1.6546205,-0.20561047,11.171663,-0.0054690135,0.4000000000000003,-0.5
20131009210000,2013-10-09 21:00:00,-0.9922222094179324,-0.7071067811865477,0.8867329781256097,BOB,PHAILIN,14.0,92.0,996.0,45.0,10.0,2,3.9857483,-9.6422415,2.948099,-7.8564677,0.55709565,-5.5862346,-0.3239667,-6.781007,-0.02330101,-4.378381,2.7554927,-5.046841,3.5521913,-2.6115227,1.9825444,2.5180902,0.99290395,-6.732388,2.272155,-6.4029055,0.6614471,-5.973252,0.57188344,-5.6542673,0.8943317,-5.140846,1.4091657,-3.05387,0.860873,2.854097,1.1661088,18.110453,0.0,0.0
20131010120000,2013-10-10 12:00:00,-0.989932495087353,-3.216245299353273e-16,0.9438546474174944,BOB,PHAILIN,15.5,90.0,976.0,75.0,30.0,4,3.1197367,-28.406971,2.0887852,-18.398794,0.16688365,-10.38135,-1.6944003,-6.304753,-1.739758,-3.5956948,-1.5186987,-0.4262969,-0.42458957,-1.5419829,0.32558244,-13.15823,0.10602248,-23.957891,2.0348303,-16.871996,1.30949,-12.794127,-2.3082654,-7.477381,-4.053751,-3.5722597,-0.307006,-2.539614,4.9705067,-0.01646974,5.978015,16.838867,1.5,-2.0
20131010150000,2013-10-10 15:00:00,-0.989932495087353,-0.7071067811865475,0.9529786408956048,BOB,PHAILIN,15.5,90.0,966.0,90.0,40.0,5,-1.411238,-16.435722,0.79885715,-10.998174,-1.8759812,-9.05603,-1.6698759,-11.714206,-1.5124304,-13.074854,6.203112,-12.873051,15.050144,-12.55914,33.75839,-16.009798,-0.940611,-23.512691,3.0515075,-15.961159,-1.4283462,-9.767712,-2.4321277,-7.6691318,-3.975659,-3.8637388,2.012125,-1.8293824,6.957519,-1.2917367,12.027051,13.348217,0.0,0.0
20131010180000,2013-10-10 18:00:00,-0.989932495087353,-1.0,0.9613139176833074,BOB,PHAILIN,15.5,89.5,960.0,95.0,46.0,5,-3.346505,-3.1666982,-1.352007,-6.0989065,-3.6031637,-3.851114,-1.7659737,-9.383916,0.05523577,-11.559609,2.8111584,-6.0037565,10.044292,-5.876878,26.084658,-12.758411,-3.9509315,-12.834976,1.0726825,-14.221737,-3.0752447,-7.7286177,-2.0964797,-7.214691,-1.4066244,-4.1228733,2.4118054,0.1889202,4.692871,2.1804457,10.937468,14.910335,0.0,-0.5
20131010210000,2013-10-10 21:00:00,-0.989932495087353,-0.7071067811865477,0.9688526252485374,BOB,PHAILIN,15.5,89.0,954.0,100.0,52.0,5,3.5805907,-14.358901,2.5603693,-10.144953,0.8738849,-9.773463,-0.2301119,-9.958152,0.5579288,-11.652202,2.8560443,-4.543652,2.977262,-1.3369385,4.188109,-3.2603776,2.7091248,-11.624879,0.5592455,-9.510418,-0.17563792,-8.825759,-0.7092737,-8.969784,0.9862854,-5.247024,3.0884764,1.9729626,1.4429435,10.331036,2.4839432,18.650375,0.0,-0.5
