filename,timestamp,year_sine,day_sine,moon_phase,basin,name,lat,lon,estimated_central_pressure,max_sustained_surface_wind,pressure_drop,grade,ir_x_1,ir_y_1,ir_x_2,ir_y_2,ir_x_3,ir_y_3,ir_x_4,ir_y_4,ir_x_5,ir_y_5,ir_x_6,ir_y_6,ir_x_7,ir_y_7,ir_x_8,ir_y_8,wv_x_1,wv_y_1,wv_x_2,wv_y_2,wv_x_3,wv_y_3,wv_x_4,wv_y_4,wv_x_5,wv_y_5,wv_x_6,wv_y_6,wv_x_7,wv_y_7,wv_x_8,wv_y_8,dx,dy
20160517120000,2016-05-17 12:00:00,0.7101350157125358,-3.216245299353273e-16,0.7420754465285642,BOB,ROANU,12.0,80.7,998.0,25.0,3.0,0,-5.9837575,-6.085489,-0.46944684,0.42639926,3.6635528,4.786423,3.9812512,2.1202085,2.8448699,4.7049785,1.8894702,7.7216682,0.71358544,2.4843168,3.1737404,3.6789103,-4.9683394,1.8164043,3.3909836,6.5390124,5.0107484,8.538431,4.052724,6.113131,1.6743629,9.168289,0.39740393,12.485965,1.1006424,6.1213017,0.37373212,4.9818926,,
20160517180000,2016-05-17 18:00:00,0.7101350157125358,-1.0,0.7095456888318212,BOB,ROANU,12.5,80.7,998.0,25.0,4.0,0,-7.524489,-13.049486,-3.7746146,-0.7043773,-1.0675458,3.810371,5.5321956,1.7485679,9.547287,1.7441068,15.337648,7.7543397,14.970818,12.219958,7.401768,5.8241963,2.8139575,-13.148854,7.512202,-0.1488236,6.322396,9.353272,3.5144007,9.721912,1.4233813,7.9632325,0.50235176,8.506359,2.25183,8.679829,-2.0371444,2.4951012,0.5,0.0
20160518120000,2016-05-18 12:00:00,0.6979441547663435,-3.216245299353273e-16,0.6028147811948618,BOB,ROANU,14.4,81.0,996.0,30.0,5.0,1,-3.0277283,-2.1391046,-4.8008585,0.6606441,-2.453195,1.0425295,1.5404259,4.3763247,2.3153415,11.43414,0.28010592,10.546027,0.36869287,6.910284,0.44700432,4.767409,3.1587057,-4.8926516,-0.28103164,-1.2495159,-0.6602902,1.9161905,3.0288036,2.1099832,4.6231265,4.4143643,2.5035143,5.329532,3.5683954,4.89132,-1.8055177,6.5158544,1.9000000000000004,0.2999999999999971
20160518180000,2016-05-18 18:00:00,0.6979441547663435,-1.0,0.5644166213992294,BOB,ROANU,14.4,81.0,994.0,30.0,7.0,1,-11.669789,-11.377593,-7.625671,-2.0430875,-5.6711135,0.66862637,5.529325,9.893152,2.2491224,10.411903,3.4844403,13.507652,2.611132,11.781294,2.9908686,4.5785227,-4.2458487,-12.094,-0.8577072,-1.9646525,-4.2824507,1.2296234,0.78986096,5.107385,1.8880765,2.3995056,1.6690242,5.480547,1.6148434,5.5433817,2.8438303,4.900767,0.0,0.0
20160519120000,2016-05-19 12:00:00,0.6855476064742155,-3.216245299353273e-16,0.4417688215968217,BOB,ROANU,16.0,81.9,988.0,40.0,8.0,2,-5.5503836,-0.878409,-5.572938,2.0739794,-7.6959496,7.8698936,-5.079305,6.6913037,2.787188,4.5093036,6.5983987,4.492163,3.596107,7.6070776,-1.8302739,6.025912,-1.9672179,0.6627845,-1.7396439,2.5119243,-3.9626224,6.3406234,-1.4968283,2.9271116,3.0927722,2.5524027,8.420818,4.2345843,4.9626493,7.322635,-1.4565239,6.68952,1.5999999999999996,0.9000000000000057
20160519150000,2016-05-19 15:00:00,0.6855476064742155,-0.7071067811865475,0.4203414992183683,BOB,ROANU,16.2,82.2,988.0,40.0,8.0,2,-2.9335563,-4.291098,-8.645126,-1.8411939,-9.676388,5.648643,-4.118447,1.0023663,3.4019454,-0.18857576,6.0136213,1.4934108,7.3192487,6.1888523,0.9978167,5.6816125,1.1755372,1.2747563,-3.426109,1.4823792,-4.065278,6.8516226,-3.5316417,4.5056844,4.2875986,4.6882424,8.016921,5.5861974,7.9117866,7.3809114,-0.6685138,6.8875875,0.1999999999999993,0.2999999999999971
20160519180000,2016-05-19 18:00:00,0.6855476064742155,-1.0,0.3986592519573973,BOB,ROANU,16.4,82.6,988.0,40.0,8.0,2,-7.3924847,-12.182895,-7.579844,-2.2296238,-11.144432,11.320562,0.8858249,3.248654,3.1793427,5.4838185,4.907957,7.7375965,3.9236968,8.16023,0.40909162,7.280371,0.42793778,-9.052012,-5.439056,-0.5097783,-5.4363127,6.7298093,-2.5449524,2.531238,4.310371,2.8173208,6.0106735,6.960156,4.255428,6.333585,-2.9839978,7.3821225,0.1999999999999993,0.3999999999999915
20160519210000,2016-05-19 21:00:00,0.6855476064742155,-0.7071067811865477,0.3767325421937296,BOB,ROANU,16.8,82.8,988.0,40.0,8.0,2,-12.239017,-11.545047,-13.341355,4.410546,-11.341982,6.609345,-5.7260294,3.1984735,-0.1602656,1.914216,5.9877195,8.393362,5.150093,10.451172,0.01482651,4.190605,-11.012986,-9.7918005,-12.691138,3.2841313,-6.571021,5.4713182,-0.51051027,4.022469,5.181611,3.081271,7.0814953,9.763431,4.520843,8.635648,-2.4087415,3.602555,0.4000000000000021,0.2000000000000028
20160520120000,2016-05-20 12:00:00,0.672949024155833,-3.216245299353273e-16,0.2638116826095113,BOB,ROANU,19.7,86.5,988.0,40.0,9.0,2,-5.1509724,-1.2058436,-1.2009389,-2.3579655,1.7883486,-6.159434,2.6691914,-2.1828842,3.5604513,3.0326862,5.429042,4.167716,5.547967,9.155465,8.392343,9.8716135,-4.3157825,1.4143665,-0.7797562,-2.4319851,2.0509048,-8.120052,5.4407077,-5.7885914,3.5004537,-1.3078164,5.669564,7.6286254,3.706491,11.8788805,4.114979,10.627021,2.8999999999999986,3.700000000000003
20160520150000,2016-05-20 15:00:00,0.672949024155833,-0.7071067811865475,0.2406487020196243,BOB,ROANU,20.1,87.1,986.0,40.0,9.0,2,-6.0568795,1.3990033,-7.0722747,-4.5694304,-6.024553,-8.100203,-1.9359602,-7.2593875,3.2891903,-5.071907,4.432478,-1.6219417,7.0919824,5.2302446,5.1481147,10.148159,-5.8494105,4.5134068,-5.8472247,-4.377786,0.28889292,-8.728519,4.867878,-3.8773305,6.12011,-1.8924245,5.696447,4.275509,4.988924,10.109526,3.3584776,10.651202,0.4000000000000021,0.5999999999999943
