filename,timestamp,year_sine,day_sine,moon_phase,basin,name,lat,lon,estimated_central_pressure,max_sustained_surface_wind,pressure_drop,grade,ir_x_1,ir_y_1,ir_x_2,ir_y_2,ir_x_3,ir_y_3,ir_x_4,ir_y_4,ir_x_5,ir_y_5,ir_x_6,ir_y_6,ir_x_7,ir_y_7,ir_x_8,ir_y_8,wv_x_1,wv_y_1,wv_x_2,wv_y_2,wv_x_3,wv_y_3,wv_x_4,wv_y_4,wv_x_5,wv_y_5,wv_x_6,wv_y_6,wv_x_7,wv_y_7,wv_x_8,wv_y_8,dx,dy
20071111120000,2007-11-11 12:00:00,-0.7694148268839381,-3.216245299353273e-16,0.2884192403691414,BOB,SIDR,10.0,92.0,1004.0,25.0,4.0,0,1.3541433,-10.446709,-0.40383312,-10.459759,-0.032998264,-9.125063,-0.5599503,-8.555433,-0.69552106,-7.130373,0.74618083,-2.2622585,-1.8925219,5.853847,-7.804004,13.612301,1.0466297,-7.2090225,-0.6497716,-6.4613633,0.53490174,-9.658415,0.4052848,-6.761863,1.9364306,2.583675,3.4484682,4.571406,5.5532575,15.994658,1.3081484,35.841423,,
20071111150000,2007-11-11 15:00:00,-0.7694148268839381,-0.7071067811865475,0.3111664566894475,BOB,SIDR,10.0,92.0,1004.0,25.0,4.0,0,4.4309278,-4.8293014,1.1768383,-4.530543,0.8332049,-14.336065,5.0272474,-25.457335,8.76675,-28.43183,18.420013,-26.952728,29.042273,-27.417412,48.237232,-20.135159,2.3993297,-3.493149,0.74714243,-4.376338,1.5528878,-9.415928,0.1948888,-6.5487003,1.025501,2.6461859,2.3086276,4.089219,3.011257,15.48778,1.6287632,28.928034,0.0,0.0
20071111180000,2007-11-11 18:00:00,-0.7694148268839381,-1.0,0.3337528616505004,BOB,SIDR,10.5,91.5,1002.0,30.0,5.0,1,4.0433574,0.87339103,2.7759812,-3.774874,1.7502892,-4.2700844,3.15903,-5.5819483,13.409891,1.5931717,18.200357,4.560639,28.249699,0.74535286,36.14176,25.480726,2.0061748,-1.1181011,1.1888223,-6.4848914,2.4429204,-10.81748,-0.89863473,-7.254106,2.050516,0.5159973,0.7302645,4.0724244,1.7026458,16.314829,2.803186,28.851072,0.5,-0.5
20071111210000,2007-11-11 21:00:00,-0.7694148268839381,-0.7071067811865477,0.3561659797175447,BOB,SIDR,10.5,91.5,1002.0,30.0,5.0,1,1.4603451,-4.7380447,0.038365807,-7.151521,0.76369655,-9.614593,0.52590734,-8.12931,1.4040879,-6.9753003,2.2998073,-4.3345027,2.1770666,2.3770888,3.018039,4.4559917,2.7810724,-1.4610423,-1.4530498,-6.8189907,0.7026398,-10.522996,0.46387574,-6.5793567,2.088843,-1.6061176,1.1709167,0.52603304,1.1396428,16.478495,1.954335,29.008085,0.0,0.0
20071113120000,2007-11-13 12:00:00,-0.7469720876965551,-3.216245299353273e-16,0.6261929307170588,BOB,SIDR,13.0,89.5,964.0,90.0,40.0,5,4.750276,3.5561123,0.6640795,3.8240612,-1.0610806,-1.7189689,-0.46806827,-2.4691465,-1.6872245,-0.47237375,-0.27780643,4.8446245,-1.3356386,1.1434041,-0.5625985,6.0124474,1.7233255,0.9345664,2.7616827,1.1556495,0.9779902,-2.0247278,-1.03845,0.062228337,-0.020829583,2.5327487,4.487344,6.974673,5.196409,22.904753,3.5773025,48.347427,2.5,-2.0
20071113150000,2007-11-13 15:00:00,-0.7469720876965551,-0.7071067811865475,0.6449028476643353,BOB,SIDR,13.0,89.5,964.0,90.0,40.0,5,3.113182,7.2128167,1.006622,6.9925537,3.3834083,-3.335959,6.402794,-16.41946,11.967184,-19.025482,13.659589,-13.565761,19.026472,7.0709195,33.20934,47.101036,2.4619184,2.9008267,1.9076593,0.29180545,0.5109073,-2.8788273,-1.5883214,-0.7305967,-0.7632486,1.749967,1.9831948,8.263516,2.6914642,18.12862,5.995763,44.87866,0.0,0.0
20071113180000,2007-11-13 18:00:00,-0.7469720876965551,-1.0,0.6632597871209284,BOB,SIDR,13.5,89.5,964.0,90.0,40.0,5,4.31283,3.054833,2.6693916,1.1122553,1.0465896,-1.7450823,3.857777,-3.0050437,5.2656913,1.345587,7.18249,12.645086,7.1799135,10.815561,12.020559,21.434237,4.4614234,5.1159315,4.4884977,-1.2727774,1.0442514,-5.254187,-0.30398697,-3.11011,1.0268143,0.068439744,1.6896892,5.852093,0.553682,12.125981,5.296204,21.59851,0.5,0.0
20071113210000,2007-11-13 21:00:00,-0.7469720876965551,-0.7071067811865477,0.6812523501849771,BOB,SIDR,14.0,89.5,964.0,90.0,40.0,5,3.8704736,5.2342076,2.8434963,2.9611263,-0.08089458,-2.7534144,1.6134131,-4.983365,3.5629725,-1.9056895,1.546013,1.7832062,1.745731,2.1410081,2.8923364,6.9783216,2.433215,1.8721589,4.5446124,-1.8594961,1.9523598,-4.174454,0.044667516,-3.2625377,2.6606078,1.0366405,1.3853536,5.4319143,0.40767345,12.811113,1.860278,26.097263,0.5,0.0
20071114120000,2007-11-14 12:00:00,-0.7354170229639858,-3.216245299353273e-16,0.7653556908912138,BOB,SIDR,16.0,89.0,964.0,90.0,40.0,5,5.944512,12.446071,-0.24562402,1.432627,1.684756,0.50144243,1.5962987,0.7665405,-2.3156629,1.309418,-4.601121,4.1100893,-2.4491463,5.077557,-4.2328653,5.9211006,0.6003059,5.2287307,-0.41351804,5.484891,0.24729338,2.427108,1.4668716,-1.5234277,-2.4961808,-1.0218999,0.08678344,5.5183377,2.4825041,10.258384,2.7541468,19.287575,2.0,-0.5
20071114150000,2007-11-14 15:00:00,-0.7354170229639858,-0.7071067811865475,0.7809266915914271,BOB,SIDR,16.0,89.0,964.0,90.0,40.0,5,8.428145,8.199467,-1.4276423,-5.095313,1.3408141,-12.8398075,3.1545236,-25.190664,4.7520347,-30.674847,13.361679,-14.414797,13.906956,-14.647861,7.3689237,-12.460876,2.7726147,5.457935,-0.99328196,4.7028756,0.24563955,2.2808397,0.06466546,-2.1173465,-5.3808026,-4.1678805,-0.890138,6.1322865,0.6975561,15.436052,2.0500612,20.956621,0.0,0.0
