filename,timestamp,year_sine,day_sine,moon_phase,basin,name,lat,lon,estimated_central_pressure,max_sustained_surface_wind,pressure_drop,grade,ir_x_1,ir_y_1,ir_x_2,ir_y_2,ir_x_3,ir_y_3,ir_x_4,ir_y_4,ir_x_5,ir_y_5,ir_x_6,ir_y_6,ir_x_7,ir_y_7,ir_x_8,ir_y_8,wv_x_1,wv_y_1,wv_x_2,wv_y_2,wv_x_3,wv_y_3,wv_x_4,wv_y_4,wv_x_5,wv_y_5,wv_x_6,wv_y_6,wv_x_7,wv_y_7,wv_x_8,wv_y_8,dx,dy
20130511120000,2013-05-11 12:00:00,0.7856498550787147,-3.216245299353273e-16,0.2813903441335865,BOB,VIYARU,8.0,89.5,994.0,40.0,8.0,2,-6.9305305,-13.794649,-7.69855,-7.223658,-6.3675427,-3.5952206,-2.2184446,-3.4795234,2.331084,0.6535489,1.6869631,5.476582,2.2984638,10.714177,4.495541,14.319845,-3.8723621,-12.733281,-3.8687315,-5.8373103,-3.0112617,-0.77933735,1.0776626,0.9248623,4.834429,-0.7550407,2.244299,2.606798,0.28031626,10.698627,0.5559925,18.649794,,
20130511150000,2013-05-11 15:00:00,0.7856498550787147,-0.7071067811865475,0.3042373873932045,BOB,VIYARU,8.5,89.0,994.0,40.0,8.0,2,-6.0151224,-2.0015478,-7.822611,-7.4915595,-9.558549,-9.35081,-2.4306707,-5.457228,2.6953819,-3.6238146,3.1947813,-0.8036365,3.6307993,5.8876257,14.856896,16.582987,-6.41841,-2.8039386,-5.1174226,-6.444596,-2.9108171,-1.348695,2.0878317,1.9125662,4.085166,1.53964,3.2565475,4.1573625,2.3186789,11.002434,2.2495954,21.59252,0.5,-0.5
20130511180000,2013-05-11 18:00:00,0.7856498550787147,-1.0,0.3268877312455768,BOB,VIYARU,9.0,89.0,994.0,40.0,8.0,2,-8.487457,-3.0084522,-8.882368,-3.8808982,-8.413329,-1.060406,-3.2260277,-0.09313879,4.648312,-4.612007,7.980853,-12.57821,16.094875,-3.2661717,42.898575,4.960322,-9.200943,-4.22592,-7.7066855,-7.244188,-3.203906,0.889176,-0.16134973,2.381959,3.3929372,1.7301161,2.8424673,3.4292984,0.6620731,11.289518,3.6019723,24.296444,0.5,0.0
20130511210000,2013-05-11 21:00:00,0.7856498550787147,-0.7071067811865477,0.3493302315218399,BOB,VIYARU,9.5,88.5,994.0,40.0,8.0,2,-0.8106625,-7.212168,-4.652736,-6.302291,-3.479302,-0.23441951,1.2734469,-0.5845819,2.8391197,1.0599581,3.5471478,2.252313,5.0465083,6.079819,7.3552027,10.284726,-2.8340435,-8.998506,-5.582408,-6.28352,-4.1134515,-0.16912226,-0.7462937,-0.9111715,1.2657378,3.1951375,4.320029,4.219209,2.3583074,12.091418,7.052086,23.603926,0.5,-0.5
20130512120000,2013-05-12 12:00:00,0.7748840413670407,-3.216245299353273e-16,0.4580465506916401,BOB,VIYARU,10.5,87.0,994.0,40.0,8.0,2,-5.7701735,-0.17251553,-4.237673,2.4856036,0.5256652,5.342578,2.018474,3.0848598,0.9493581,5.3183265,1.0691013,3.7814357,0.18198416,7.590709,1.2697713,15.337375,-2.0879424,-6.072403,-1.4205811,-0.13512504,1.6947249,2.6511703,2.3806443,0.34876767,1.5083358,0.84519345,4.299876,4.196131,3.7603314,11.337273,3.2463336,22.06788,1.0,-1.5
20130512150000,2013-05-12 15:00:00,0.7748840413670407,-0.7071067811865475,0.4790171307084147,BOB,VIYARU,10.5,86.5,994.0,40.0,8.0,2,1.5766195,-11.946054,-4.7346325,-6.3316636,-4.046905,5.0515966,0.75371087,1.3421646,1.374382,0.4452597,0.77407235,0.36650464,2.529047,12.942666,5.4447975,26.165575,0.25298697,-9.78398,-1.1930826,-4.5462418,0.36338097,5.453565,3.134408,1.0172838,4.023459,1.010265,3.878098,3.7553468,3.568285,12.426494,3.0095596,30.668785,0.0,-0.5
20130512180000,2013-05-12 18:00:00,0.7748840413670407,-1.0,0.499706400717874,BOB,VIYARU,11.0,86.5,994.0,40.0,8.0,2,-4.6470056,0.032162547,-2.391635,1.048108,-3.509681,8.029884,-0.28596252,8.475092,4.1397176,-4.282983,11.527915,2.317308,16.544516,37.688084,22.220753,40.267883,-1.4001336,-1.8710428,-0.30269095,-1.0160952,-1.2179338,4.082476,0.5506151,3.9318547,2.5103598,4.054092,3.7163107,4.8785186,2.978677,15.075344,4.664103,29.594494,0.5,0.0
20130512210000,2013-05-12 21:00:00,0.7748840413670407,-0.7071067811865477,0.5201044873458979,BOB,VIYARU,11.0,86.5,994.0,40.0,8.0,2,1.7080814,8.096243,-0.3377999,0.5006913,-2.6008985,4.2319536,-0.13467585,9.724389,2.7356179,10.57309,3.1217868,6.600307,1.0886899,7.4587464,-3.9891605,23.628466,3.1148832,1.4797322,0.91363674,-3.1726384,-0.8556393,2.3708138,3.734257,5.888907,3.4728384,7.2527957,4.1524854,7.02306,2.6256952,14.223998,2.3478377,23.897352,0.0,0.0
20130513120000,2013-05-13 12:00:00,0.7638886127905428,-3.216245299353273e-16,0.6173916645790433,BOB,VIYARU,12.0,86.0,994.0,40.0,8.0,2,10.999345,-17.282806,3.5127766,-3.2869332,-0.5315913,2.8341305,-0.111012764,0.6964749,2.737581,1.2935264,1.9030911,3.8834357,0.8187591,11.188359,-0.8486949,16.904531,8.058036,-16.0379,4.3772955,-2.2318234,0.97112066,3.045213,2.4147384,4.2064176,3.0084321,0.25050598,2.5361147,8.125185,2.6556373,16.298826,3.472477,22.39916,1.0,-0.5
20130513150000,2013-05-13 15:00:00,0.7638886127905428,-0.7071067811865475,0.635843264589942,BOB,VIYARU,12.5,86.0,994.0,40.0,8.0,2,-1.6871628,-2.073424,-2.0693493,-1.9183481,-0.4899942,1.4946909,1.8422508,-3.2630155,6.7324038,0.38330084,2.619879,6.265387,1.6062236,12.98001,3.2923303,25.97822,1.7937338,-2.5938935,3.2765565,-2.03534,4.025036,2.6224713,4.168611,1.0641456,5.43695,2.111749,3.7191763,10.222623,2.2957263,16.439123,3.123907,22.53979,0.5,0.0
