filename,timestamp,year_sine,day_sine,moon_phase,basin,name,lat,lon,estimated_central_pressure,max_sustained_surface_wind,pressure_drop,grade,ir_x_1,ir_y_1,ir_x_2,ir_y_2,ir_x_3,ir_y_3,ir_x_4,ir_y_4,ir_x_5,ir_y_5,ir_x_6,ir_y_6,ir_x_7,ir_y_7,ir_x_8,ir_y_8,wv_x_1,wv_y_1,wv_x_2,wv_y_2,wv_x_3,wv_y_3,wv_x_4,wv_y_4,wv_x_5,wv_y_5,wv_x_6,wv_y_6,wv_x_7,wv_y_7,wv_x_8,wv_y_8,dx,dy
20091112120000,2009-11-12 12:00:00,-0.7583058084785625,-3.216245299353273e-16,-0.801953327752617,BOB,WARD,8.5,84.5,998.0,35.0,6.0,2,-15.0603285,-11.378865,-13.216417,-11.148575,-10.7273245,-5.508842,-5.9751234,-3.998108,-1.7705607,-3.340419,1.0272075,0.53557605,0.13876766,3.5399995,-8.632441,9.513115,-12.422335,-10.853685,-13.616515,-10.013537,-12.550121,-3.0201833,-5.9760942,-1.1316595,-1.5414834,-1.2527579,0.7832266,3.9073792,2.2589297,9.076021,4.088866,6.757054,,
20091112150000,2009-11-12 15:00:00,-0.7583058084785625,-0.7071067811865475,-0.7850008903347345,BOB,WARD,9.0,84.5,998.0,35.0,6.0,2,-15.1343155,-13.371644,-11.194563,-13.050155,-7.7136407,-7.8834453,-4.214903,-4.709259,2.2916374,-13.240739,14.625562,-19.15055,30.83765,-34.133102,46.949226,-28.843887,-15.280118,-12.957237,-10.995218,-10.38131,-10.166766,-4.04993,-5.5586886,-0.9624183,-3.0172124,-1.3910187,1.7721759,3.131969,5.61103,5.965745,8.040193,7.0706034,0.5,0.0
20091112180000,2009-11-12 18:00:00,-0.7583058084785625,-1.0,-0.7674625059065041,BOB,WARD,9.0,84.5,998.0,40.0,8.0,2,-14.625606,-19.488422,-10.8390465,-15.399041,-3.601032,-6.8374615,-1.4985864,-1.3603818,1.3435212,-3.7160351,8.465905,-6.302025,16.88063,-10.866668,24.632328,-1.6296045,-17.55314,-12.605254,-11.829654,-11.888674,-8.727515,-6.168396,-4.02456,0.62802917,-0.56288373,1.3669711,2.099099,4.7196984,4.799905,5.396885,7.2363477,6.122315,0.0,0.0
20091112210000,2009-11-12 21:00:00,-0.7583058084785625,-0.7071067811865477,-0.7493547747725527,BOB,WARD,9.5,84.5,996.0,45.0,10.0,2,-14.323102,-14.881433,-9.608921,-11.135475,-5.6861963,-6.5337386,-4.069309,-0.36034364,-0.45845905,-2.4166472,2.6995003,-2.5670705,1.8339831,-1.5924561,-0.42035106,-0.2834037,-16.972273,-12.158881,-11.607081,-11.112222,-7.9157114,-7.875208,-2.4509366,-1.6808141,-1.2243971,2.1423917,1.681362,5.4155946,2.367831,9.817361,3.2638571,10.886238,0.5,0.0
20091212120000,2009-12-12 12:00:00,-0.3375228995941134,-3.216245299353273e-16,-0.7255148917111736,BOB,WARD,10.0,83.5,998.0,35.0,6.0,2,-0.64546627,-9.404169,-2.6193101,-3.3121736,-2.455473,2.4153678,-0.43008426,1.582895,2.4941604,2.7817633,0.84450847,7.083277,2.7939196,6.3731155,3.7067208,-2.4108953,-0.7679939,-5.93979,-1.4769723,-4.122213,-0.59130293,-0.43879196,2.2793458,2.0680642,3.1203127,5.3585362,3.3116508,10.117804,6.874226,23.774279,6.850678,21.835072,0.5,-1.0
20091212150000,2009-12-12 15:00:00,-0.3375228995941134,-0.7071067811865475,-0.7071938606746732,BOB,WARD,10.0,83.5,998.0,35.0,6.0,2,-3.485194,-12.525075,-2.0574079,-19.80018,13.110279,-10.882954,4.494169,1.2341324,3.1341388,-0.59070474,2.8270643,2.7628374,10.480414,9.410506,12.528965,4.933919,3.7915523,-9.735029,-0.20151594,-0.7394883,-0.7132184,4.11332,0.59752554,5.2473783,-0.41585663,9.991129,0.985757,14.173579,5.0263996,22.669561,7.3091264,23.576872,0.0,0.0
20091212180000,2009-12-12 18:00:00,-0.3375228995941134,-1.0,-0.6884292408293227,BOB,WARD,9.5,83.5,1000.0,30.0,5.0,1,5.495177,-9.707518,1.726189,-1.8449041,0.859713,1.294257,-0.42191827,2.2758875,2.2730832,4.0792704,4.2023783,6.5849586,8.6676655,7.964543,16.3073,20.543543,4.4811764,-7.1006126,0.9129985,4.927752,-4.064066,13.790032,-2.711506,9.023393,-1.7313334,11.482897,-0.43234742,14.136252,1.7039531,18.258862,4.7962866,19.05807,-0.5,0.0
20091213120000,2009-12-13 12:00:00,-0.3212696616923651,-3.216245299353273e-16,-0.5674312998144959,BOB,WARD,9.0,83.0,1002.0,30.0,5.0,1,-2.3969836,-0.7705303,-3.201847,-0.10025811,0.82131904,1.5921494,1.8106735,-0.3968554,1.3556252,5.042757,0.9175969,11.221942,3.9182293,18.440739,9.216953,19.110006,2.2183979,4.3574176,1.4587251,3.3281238,2.5587592,9.3419285,2.4847915,6.727012,0.81013,8.638669,0.46190333,14.899762,0.5849838,23.959064,1.0654333,19.974234,-0.5,-0.5
20091213180000,2009-12-13 18:00:00,-0.3212696616923651,-1.0,-0.5242880337713015,BOB,WARD,9.0,82.5,1002.0,30.0,5.0,1,2.7307096,4.256177,4.3277335,0.64088935,4.5652843,2.2830088,2.101511,8.5144825,0.080614395,8.286327,3.88427,11.587156,4.5767193,15.543974,0.39502192,8.692231,7.0094757,0.20481084,2.9615018,6.7267523,-0.83656293,12.444226,0.76352483,13.859684,-2.1277893,13.534095,-2.745622,15.858553,-0.49310276,20.765543,-1.4805238,15.7093,0.0,-0.5
20091214120000,2009-12-14 12:00:00,-0.3049212246562894,-3.216245299353273e-16,-0.3882805939211912,BOB,WARD,8.5,81.0,1004.0,25.0,3.0,0,0.009715394,-2.0656726,1.2523385,1.3783299,1.5304223,6.2339206,-1.9310585,6.2107983,-2.8306496,3.777283,-3.978658,5.6042686,-6.9013615,4.3987274,-4.002708,3.5752003,1.428363,2.9452262,1.9318111,13.091422,1.2204138,15.304553,-2.0210104,14.57472,-2.222923,9.597398,-2.008426,10.554013,-0.63057613,12.032871,-3.237918,12.774438,-0.5,-1.5
