filename,timestamp,year_sine,day_sine,moon_phase,basin,name,lat,lon,estimated_central_pressure,max_sustained_surface_wind,pressure_drop,grade,ir_x_1,ir_y_1,ir_x_2,ir_y_2,ir_x_3,ir_y_3,ir_x_4,ir_y_4,ir_x_5,ir_y_5,ir_x_6,ir_y_6,ir_x_7,ir_y_7,ir_x_8,ir_y_8,wv_x_1,wv_y_1,wv_x_2,wv_y_2,wv_x_3,wv_y_3,wv_x_4,wv_y_4,wv_x_5,wv_y_5,wv_x_6,wv_y_6,wv_x_7,wv_y_7,wv_x_8,wv_y_8,dx,dy
20100517060000,2010-05-17 06:00:00,0.717676913675962,1.0,0.6542806334485664,BOB,LAILA,10.5,88.5,1004.0,25.0,3.0,0,3.7338681,-11.92992,-0.07501398,-11.299098,0.016282221,-2.8051343,0.0023011928,3.8126023,-2.7074573,5.793011,-2.2084196,9.281983,-1.5068238,17.890566,-0.6166206,15.901524,0.13013937,-15.3974,-1.6751485,-13.570528,-2.0899045,-2.633164,-2.291147,6.468423,0.5687521,9.544838,0.03767596,12.366534,-0.71521205,24.078058,0.25859404,19.114155,,
20100517120000,2010-05-17 12:00:00,0.717676913675962,-3.216245299353273e-16,0.6961689845741776,BOB,LAILA,11.0,88.0,1000.0,30.0,5.0,1,10.661986,-6.838347,5.964898,-11.637726,0.9885556,-5.0376053,-1.076395,0.32066172,-0.35084358,4.6660795,3.785822,8.281812,0.5651338,13.689805,1.2923704,15.289551,10.7045355,-8.550361,4.0822334,-10.466908,-1.0276734,-1.0126843,-0.38696223,4.336995,0.08687063,9.123746,1.5952849,11.726458,-2.9036765,20.85316,-1.5407647,26.819546,0.5,-0.5
20100517180000,2010-05-17 18:00:00,0.717676913675962,-1.0,0.7358884770481121,BOB,LAILA,11.5,87.5,998.0,30.0,5.0,1,2.4365292,-15.27089,-3.222506,-8.749865,-4.894069,-2.1811182,-3.489964,2.1476114,-0.08978228,5.7939296,1.5641692,6.6150174,6.025786,13.573043,7.97483,23.799572,3.4316046,-15.07023,-1.1812865,-7.667068,0.27843332,-1.9639063,-0.06661963,4.994088,0.087603465,11.708075,0.91377413,12.983699,0.63611615,19.067171,4.348649,21.617079,0.5,-0.5
20100518000000,2010-05-18 00:00:00,0.705583610107178,0.0,0.773290020334475,BOB,LAILA,11.5,86.5,998.0,35.0,6.0,2,1.6883597,-14.154183,-1.3141865,-12.476594,-1.653948,-10.436749,-0.16460119,2.0375736,-2.1103265,9.726813,-0.31651264,9.464534,-0.8465324,10.728404,-0.58099246,8.499806,1.0539709,-12.799953,-0.52235556,-9.456942,-1.6626464,-9.248183,-2.7202835,3.1050448,-0.56227916,11.814669,-0.23253386,15.474435,2.7048733,20.434784,5.8581457,25.636871,0.0,-1.0
20100518030000,2010-05-18 03:00:00,0.705583610107178,0.7071067811865476,0.7910772283003579,BOB,LAILA,12.0,85.5,996.0,40.0,6.0,2,5.9234295,-13.874198,0.3404306,-8.886463,-2.0662096,-4.8258505,2.3314524,1.4147464,1.078755,5.2192984,0.047618523,6.170994,2.0271657,10.2553005,4.3550706,18.68116,3.4558501,-16.506582,-0.48024815,-9.162349,-2.283281,-4.7996783,2.7761586,3.0778394,2.047523,10.26083,0.61954314,14.854379,3.4228036,17.954342,6.222207,21.094143,0.5,-1.0
20100518060000,2010-05-18 06:00:00,0.705583610107178,1.0,0.8082328461219399,BOB,LAILA,12.5,84.5,992.0,45.0,8.0,2,10.148223,-20.208288,8.851619,-13.747271,3.0199502,-5.360078,-3.9407303,3.0292914,-3.9763138,3.8931463,-2.1282506,4.871714,4.761356,2.3017807,0.58667797,11.602573,5.906409,-21.977167,3.5942593,-15.544204,-2.7316399,-4.123855,-1.5417751,3.3142354,1.0077698,7.7035594,-0.53734124,13.455566,4.1210647,18.214497,4.658326,22.127625,0.5,-1.0
20100518090000,2010-05-18 09:00:00,0.705583610107178,0.7071067811865476,0.8247406807673404,BOB,LAILA,13.0,84.0,992.0,45.0,8.0,2,7.3401666,-22.061438,7.8349147,-9.593576,2.1657717,-0.29925594,-0.5074928,5.3411865,4.352111,3.0045223,3.0706432,3.390066,-0.14973356,0.014015245,-1.7731835,4.137374,5.0626025,-23.881088,2.15278,-10.730042,-1.4533354,-0.19840948,-0.7119994,5.8628483,2.4812229,7.070173,2.237784,11.913701,4.345962,20.568012,4.9332457,21.611883,0.5,-0.5
20100518120000,2010-05-18 12:00:00,0.705583610107178,-3.216245299353273e-16,0.8405851341194975,BOB,LAILA,13.0,83.5,990.0,45.0,10.0,2,-4.6500254,-14.291941,0.53528434,-4.410484,4.117865,-3.8309762,5.4920673,3.1494143,8.093688,2.6891866,5.3178935,5.258661,1.377887,9.545651,2.786868,5.961799,-2.0242832,-13.715559,2.4843497,-5.3331685,1.9662305,-0.9124651,2.0397713,9.726943,4.8356447,10.863192,3.0851767,13.0008,3.8462496,20.877775,4.054856,21.035757,0.0,-0.5
20100518150000,2010-05-18 15:00:00,0.705583610107178,-0.7071067811865475,0.8557512191761815,BOB,LAILA,13.0,83.0,990.0,45.0,10.0,2,-13.574246,-14.487283,-6.0431104,-3.4288428,-1.9790455,-1.6078914,1.076215,1.2196327,4.873311,4.340446,3.2785628,7.1065407,0.5270479,14.365308,1.1211059,0.7239742,-13.257754,-11.589404,-1.0905308,0.7693459,-1.9004861,4.621801,1.6874394,11.571079,3.2764008,13.880531,2.6713724,14.896667,3.3047135,16.134663,3.3065486,14.149849,0.0,-0.5
20100518180000,2010-05-18 18:00:00,0.705583610107178,-1.0,0.8702245753753572,BOB,LAILA,13.0,82.5,990.0,45.0,10.0,2,-2.6454022,-31.38951,-3.053617,-17.407751,1.4641913,-5.5237823,4.7471013,-1.7735215,6.8658285,-2.9056547,5.479047,3.9118114,7.5790195,10.101902,12.47203,6.0060453,4.7512116,-30.66313,1.1572838,-8.537845,-1.3351607,2.0990732,-1.7259827,10.220787,2.2482717,11.08702,2.1570523,11.7551985,2.72461,9.562005,1.8787607,7.8145113,0.0,-0.5
20100518210000,2010-05-18 21:00:00,0.705583610107178,-0.7071067811865477,0.8839914830875812,BOB,LAILA,13.0,82.0,990.0,45.0,10.0,2,3.8332846,-36.02217,4.3858924,-24.206514,0.5753556,-6.0347395,1.3826653,2.7092645,3.1485455,3.9866748,1.754589,6.3479066,1.9127364,6.4758916,1.7117006,5.6752768,-0.34103253,-36.64047,5.737781,-20.773952,-0.049084935,-2.1870115,-1.4397165,7.3131175,1.1929262,11.103837,2.673788,12.489081,1.6276975,12.390551,1.1345451,8.538799,0.0,-0.5
20100519000000,2010-05-19 00:00:00,0.6932812268869777,0.0,0.8970388773181762,BOB,LAILA,13.5,82.0,990.0,45.0,10.0,2,-2.7509058,-21.711187,-8.028874,-15.986168,-7.6813555,-4.9980173,-1.628865,-0.66027117,-1.392003,2.3593304,-1.2843026,6.68787,0.5247064,6.534908,0.46507677,3.5695727,-2.510983,-22.599754,-3.4457147,-14.849141,-4.137238,1.2272912,-3.0982199,6.693947,-0.29118517,13.107984,1.3677815,16.776213,0.9801903,17.283194,3.3421276,12.985387,0.5,0.0
