filename,timestamp,year_sine,day_sine,moon_phase,basin,name,lat,lon,estimated_central_pressure,max_sustained_surface_wind,pressure_drop,grade,ir_x_1,ir_y_1,ir_x_2,ir_y_2,ir_x_3,ir_y_3,ir_x_4,ir_y_4,ir_x_5,ir_y_5,ir_x_6,ir_y_6,ir_x_7,ir_y_7,ir_x_8,ir_y_8,wv_x_1,wv_y_1,wv_x_2,wv_y_2,wv_x_3,wv_y_3,wv_x_4,wv_y_4,wv_x_5,wv_y_5,wv_x_6,wv_y_6,wv_x_7,wv_y_7,wv_x_8,wv_y_8,dx,dy
20140610120000,2014-06-10 12:00:00,0.3777079652039649,-3.216245299353273e-16,0.5789983344175531,AS,NANAUK,16.0,68.0,996.0,25.0,3.0,0,3.1920867,0.9258565,-1.2267653,1.3860244,0.24281287,4.0602946,1.8754874,2.4193025,2.342919,3.752106,4.2709208,0.017581545,4.8847246,-7.128415,5.72364,-11.187968,-1.7740148,14.996464,0.14670499,4.120176,-1.5818408,1.8755356,0.06464864,0.3486359,2.2641559,4.2373986,3.6348288,-0.41875792,3.5124626,-7.3577504,2.1183052,-10.920563,,
20140610180000,2014-06-10 18:00:00,0.3777079652039649,-1.0,0.5328354134117421,AS,NANAUK,16.5,67.5,994.0,30.0,5.0,1,-15.219646,-39.15868,2.6524682,-8.090092,7.089781,-8.426219,5.058293,5.087381,4.6120653,11.415064,5.9610357,2.1355152,5.773677,-4.1769543,2.5903628,-6.67988,1.4550811,11.251755,0.1939136,6.5594525,0.5286427,8.675036,2.372336,8.480361,4.132117,7.5996537,7.6455617,-0.7173023,5.107723,-6.7199416,2.8965144,-7.3334017,0.5,-0.5
20140611120000,2014-06-11 12:00:00,0.3617137307297676,-3.216245299353273e-16,0.3824376623646606,AS,NANAUK,17.3,66.2,988.0,45.0,10.0,2,0.89707655,2.8849146,-0.07537343,4.3317275,1.1090951,1.9507102,0.5511229,-2.727599,3.4110065,-5.0299687,3.5372357,-2.861445,4.174633,-3.9903693,8.31768,-3.9261484,-1.4291052,11.109917,3.2229102,5.619113,2.5349314,0.63401526,1.2408768,-0.20605218,1.4096589,1.203975,3.3473997,-4.098614,4.024407,-7.6989837,5.76054,-6.450503,0.8000000000000007,-1.2999999999999972
20140611150000,2014-06-11 15:00:00,0.3617137307297676,-0.7071067811865475,0.3558043900927677,AS,NANAUK,17.5,66.0,988.0,45.0,10.0,2,-1.964096,-13.97271,0.97670317,-4.9861283,3.3525906,-0.5178437,1.4211657,0.44936863,1.8778558,-1.6142161,5.209505,-4.0371227,5.2846484,-4.3150196,3.939368,-3.077682,0.4918302,5.080669,2.8036196,2.0980299,4.3093657,5.0760226,1.7778746,2.4394784,3.7173202,-1.1842208,6.11491,-6.224632,5.351204,-9.456073,4.297761,-9.781909,0.1999999999999993,-0.2000000000000028
20140611180000,2014-06-11 18:00:00,0.3617137307297676,-1.0,0.3287732614734519,AS,NANAUK,17.5,65.8,988.0,45.0,10.0,2,1.5694661,-2.8058267,1.756676,-8.694182,2.7217584,-4.6162705,3.0495026,5.129236,5.249157,4.3848543,4.741821,-1.0429022,4.195013,-2.207152,2.4509761,0.46980557,2.6570587,16.379759,-0.6060606,10.61696,1.2381368,6.7889404,0.98756427,4.221902,4.6436834,2.7262516,9.477217,-6.928189,6.867914,-6.3056197,2.3550475,-6.065049,0.0,-0.2000000000000028
20140611210000,2014-06-11 21:00:00,0.3617137307297676,-0.7071067811865477,0.3013652603164345,AS,NANAUK,17.5,65.7,988.0,45.0,10.0,2,-0.14156756,6.765582,0.006640611,6.8000646,-0.43475536,7.0893993,0.54727685,4.4287477,0.5106864,7.0059013,0.96096754,2.1605952,1.2763298,0.046660826,2.629298,4.0686707,7.222416,18.663551,0.6169293,13.842961,-0.038598046,10.94032,-0.22130953,4.9519987,0.031207975,2.5392668,3.2446268,-4.71694,3.4396312,-3.3671112,0.42869222,-1.7195463,0.0,-0.0999999999999943
20140612120000,2014-06-12 12:00:00,0.3456123126707335,-3.216245299353273e-16,0.1594760615419943,AS,NANAUK,18.3,63.9,988.0,45.0,10.0,2,-1.4489875,2.7881627,-0.086530134,7.513843,-1.1557986,7.1267753,0.47166207,2.2236989,-1.6410114,-4.283473,-1.1239469,-7.2210073,2.2843864,-7.8399634,4.5355806,-4.2013426,1.1116356,5.2406626,-1.9074583,6.808038,-3.6489275,8.747277,1.174741,6.2665,-1.1027806,0.092755295,1.0278159,-3.1947792,4.905359,-5.298052,6.4261894,-4.837652,0.8000000000000007,-1.8000000000000045
20140612150000,2014-06-12 15:00:00,0.3456123126707335,-0.7071067811865475,0.1303025211440612,AS,NANAUK,18.3,63.6,988.0,45.0,10.0,2,1.9661986,-9.823724,0.8966716,-10.027652,4.1929355,4.2225933,2.5205405,0.3395106,-0.51517177,-3.7950034,1.6336601,-7.479546,4.900313,-6.0397205,4.693031,-4.5331216,2.359696,11.542605,0.7753306,10.982055,0.51200455,9.105822,1.7756674,0.6637251,-0.45175162,-3.4347181,2.5115564,-5.027412,6.783215,-4.7821193,7.5830655,-4.3568406,0.0,-0.2999999999999971
20140612180000,2014-06-12 18:00:00,0.3456123126707335,-1.0,0.1009259959760353,AS,NANAUK,18.3,63.4,988.0,45.0,10.0,2,9.192916,-3.5189111,6.6610737,-7.641494,10.305396,-0.3602086,4.739585,-2.4273357,1.094861,-2.1017118,1.0073618,-4.6396937,1.48455,-2.6202056,1.9566929,-1.3916788,8.65607,15.393271,1.9144326,12.853768,1.9331564,10.585398,0.9897587,1.4341701,-0.26231787,-6.206088,-0.56527984,-5.9257264,2.982312,-3.2909496,4.123547,-4.5011306,0.0,-0.2000000000000028
20140612210000,2014-06-12 21:00:00,0.3456123126707335,-0.7071067811865477,0.0713748266185654,AS,NANAUK,18.4,63.3,988.0,45.0,10.0,2,4.496685,1.3859549,2.2783604,-1.7890879,2.6819422,0.25336626,-0.79458106,-2.4348567,-0.6710104,-3.6480753,3.2031994,-4.1154284,-0.6455979,-1.2997093,-1.3456603,1.580351,11.008535,21.576584,5.569164,14.295511,0.50302213,5.432399,-0.37630644,-4.173303,4.27704,-10.412311,3.7079077,-9.163279,3.267176,-2.4275541,1.4673833,-0.27849916,0.0999999999999978,-0.1000000000000014
