filename,timestamp,year_sine,day_sine,moon_phase,basin,name,lat,lon,estimated_central_pressure,max_sustained_surface_wind,pressure_drop,grade,ir_x_1,ir_y_1,ir_x_2,ir_y_2,ir_x_3,ir_y_3,ir_x_4,ir_y_4,ir_x_5,ir_y_5,ir_x_6,ir_y_6,ir_x_7,ir_y_7,ir_x_8,ir_y_8,wv_x_1,wv_y_1,wv_x_2,wv_y_2,wv_x_3,wv_y_3,wv_x_4,wv_y_4,wv_x_5,wv_y_5,wv_x_6,wv_y_6,wv_x_7,wv_y_7,wv_x_8,wv_y_8,dx,dy
20161206120000,2016-12-06 12:00:00,-0.4316728524737835,-3.216245299353273e-16,0.9825064615669198,BOB,VARDAH,8.5,90.5,1002.0,25.0,3.0,0,-0.51189035,-7.3185015,-1.6731296,-5.7975807,-1.5339867,-0.43545878,-3.102615,-1.2188516,-2.0471964,-4.385086,2.7478642,-0.99262965,6.414898,8.635864,8.310389,25.6706,-2.269803,-11.859359,-2.4582584,-11.261032,-2.289659,-3.093309,-3.899305,-3.1165493,-3.4905794,-0.653574,0.07161774,1.5097282,4.19487,7.505706,7.514539,22.291265,,
20161206180000,2016-12-06 18:00:00,-0.4316728524737835,-1.0,0.9909798839151058,BOB,VARDAH,9.5,90.5,1002.0,25.0,3.0,0,0.94124985,-3.2516978,-1.0894188,-4.79212,3.7484794,-5.6484804,5.7999763,-7.478751,5.820931,-9.175872,3.9979866,-5.411503,1.1272916,0.06604182,4.825335,17.24789,-4.8196697,-6.5672774,-1.0790007,-10.347363,2.5654504,-8.729734,2.1823046,-5.57385,-2.1816297,-4.1147833,-2.9186306,6.277429,-2.8583043,25.442064,-4.4150944,43.060005,1.0,0.0
20161207120000,2016-12-07 12:00:00,-0.4161246959914751,-3.216245299353273e-16,0.9996450337263352,BOB,VARDAH,10.0,90.5,1002.0,25.0,4.0,0,-2.4116943,-3.8309872,-0.77503926,-8.69946,-1.6075054,-6.2907624,-3.0137882,-5.5068455,-1.174044,-6.0270014,2.0721128,-7.3164544,4.9419703,-8.399914,13.050452,-6.288296,-2.5866637,-10.440327,-0.710385,-13.23181,0.8929878,-11.816718,-0.34602112,-9.437349,0.57806844,-3.438678,2.8767889,-0.739829,9.013691,6.628966,16.420622,15.082103,0.5,0.0
20161207180000,2016-12-07 18:00:00,-0.4161246959914751,-1.0,0.9967083411778848,BOB,VARDAH,10.8,90.5,1000.0,30.0,5.0,1,1.8017968,0.18880592,4.8809595,-5.3242555,4.5784264,-4.4455996,4.107713,-6.4958057,8.049575,-9.598573,6.6579733,-7.16429,6.634389,-0.56074,14.983006,10.362107,3.2164733,-9.53932,6.9504647,-11.640561,4.0501914,-12.035449,-1.1381427,-6.643696,-0.4552123,2.0101178,-1.4867076,7.306937,-2.5417655,22.579664,-2.5547266,48.138847,0.8000000000000007,0.0
20161208120000,2016-12-08 12:00:00,-0.4004539056512665,-3.216245299353273e-16,0.9695637353362246,BOB,VARDAH,11.7,90.5,997.0,40.0,8.0,2,-3.1727312,-9.408205,-5.537149,-9.8433895,-3.658379,-6.696617,-2.9969196,-5.085328,0.27868107,-2.9751425,4.2057633,-1.7345377,11.603274,-5.2917976,21.101875,2.5642145,-2.5342906,-14.089119,-4.9141846,-12.995398,-2.7141156,-11.648452,0.5612153,-9.195519,1.6374971,-5.863121,5.3579097,1.4501369,9.905206,8.090933,20.976624,21.773314,0.8999999999999986,0.0
20161208150000,2016-12-08 15:00:00,-0.4004539056512665,-0.7071067811865475,0.9623027359311532,BOB,VARDAH,11.7,90.5,997.0,40.0,8.0,2,-2.2789032,-18.889818,-3.9974754,-14.061415,2.9834256,-17.373896,7.0607233,-26.287622,13.859945,-17.871195,21.370176,-11.6994095,42.265827,-10.037869,55.86391,-12.615979,-0.7876835,-19.501286,-2.124802,-14.254773,-0.24973288,-12.139418,-0.11776922,-9.424252,0.20937027,-3.866342,2.8097935,7.372629,2.7331111,18.258234,4.681645,48.181038,0.0,0.0
20161208180000,2016-12-08 18:00:00,-0.4004539056512665,-1.0,0.9542475077771132,BOB,VARDAH,11.8,90.5,997.0,40.0,8.0,2,-3.2989652,-9.356866,-5.2515526,-5.9338937,-2.7232463,-6.4315424,1.0284393,-7.3896403,5.5320964,-6.927843,7.639905,0.79753214,7.7471676,14.430542,9.899499,29.055786,-3.6094313,-17.07981,-0.78193325,-9.50539,2.2398915,-8.70432,-0.7002146,-6.4049525,1.5867355,1.1811868,0.27519283,13.893171,-2.4908085,30.246475,-1.810201,52.75316,0.1000000000000014,0.0
20161208210000,2016-12-08 21:00:00,-0.4004539056512665,-0.7071067811865477,0.9453949404039604,BOB,VARDAH,12.0,90.5,997.0,40.0,8.0,2,-1.1695261,0.80536073,-4.073555,-1.6859552,-1.5978613,-4.538476,1.2280664,-3.8790338,2.1481173,-3.719053,2.5248585,-0.28671205,3.4842694,13.028753,5.7261276,23.125217,-3.5587485,-7.6128316,0.9016234,-5.460499,4.63901,-7.645034,2.1789238,-6.557374,0.56034666,2.4606452,-0.054471966,15.028939,-0.8140713,26.337847,-0.19732684,34.968582,0.1999999999999993,0.0
20161209120000,2016-12-09 12:00:00,-0.3846650997070013,-3.216245299353273e-16,0.889118493539396,BOB,VARDAH,12.2,90.0,996.0,45.0,10.0,2,-5.7911506,-15.828941,-5.875748,-5.4947696,-3.69861,-1.8681647,-1.7194182,-3.3196042,0.18253098,-2.7554874,2.9213266,6.0877886,9.327203,13.285922,8.920467,24.983484,-5.727692,-20.72708,-3.6423407,-13.471594,-2.7431724,-8.731141,3.133689,-7.4414225,2.327966,0.8095863,2.9947882,12.857687,7.0072575,21.743525,7.325264,29.363073,0.1999999999999993,-0.5
20161209150000,2016-12-09 15:00:00,-0.3846650997070013,-0.7071067811865475,0.8754620623714805,BOB,VARDAH,12.2,89.9,994.0,45.0,12.0,2,-2.9119356,-11.652441,-6.427778,-10.939905,1.630924,-14.233178,12.679943,-25.069302,23.772713,-22.251526,17.82825,-13.404556,26.792242,-3.6555498,26.722551,5.0554314,-2.788797,-11.223586,-2.5864334,-9.118935,-0.101388425,-7.579029,2.1545389,-5.663609,2.180072,3.2521467,1.3192381,11.132589,1.8503927,19.38786,3.7005968,31.906462,0.0,-0.0999999999999943
